instance sat family size vbdpd vbbjdpd
F.04 1 1 300 2266 2436
C.18 1 1 1000 1029 1188
A.04 1 1 200 43 44
C.02 1 1 1000 1087 1078
E.01 0 1 300 2726 2750
F.20 1 1 300 2141 1869
B.20 1 1 600 387 380
C.08 1 1 1000 1005 1017
B.11 1 1 600 371 368
C.10 1 1 1000 1167 1435
B.06 1 1 600 387 365
F.08 1 1 300 2086 2107
B.07 1 1 600 393 396
E.04 0 1 300 2412 2457
C.01 1 1 1000 1027 1027
B.10 1 1 600 439 500
A.15 1 1 200 39 39
C.19 1 1 1000 1105 1041
B.02 1 1 600 377 359
E.06 0 1 300 2553 2587
E.18 0 1 300 1374 1399
C.20 1 1 1000 1045 1044
F.02 1 1 300 1814 1830
F.11 1 1 300 2203 2233
F.12 1 1 300 2336 2362
E.05 0 1 300 1981 2010
B.16 1 1 600 392 398
A.08 1 1 200 33 40
C.14 1 1 1000 1084 1086
F.16 1 1 300 1788 1798
F.06 1 1 300 1710 1989
A.03 1 1 200 42 43
E.19 0 1 300 1485 1648
C.15 1 1 1000 1264 1246
A.16 1 1 200 49 45
B.14 1 1 600 376 375
A.02 1 1 200 40 40
F.14 1 1 300 1441 1462
F.05 1 1 300 1624 1644
B.09 1 1 600 380 379
A.01 1 1 200 42 44
C.05 1 1 1000 1026 1400
B.01 1 1 600 393 431
A.09 1 1 200 37 37
A.07 1 1 200 34 34
F.03 1 1 300 1570 1563
E.12 0 1 300 1899 1928
C.06 1 1 1000 1097 1331
C.09 1 1 1000 993 1078
B.17 1 1 600 483 378
C.07 1 1 1000 1147 1183
E.09 0 1 300 1797 1824
E.17 0 1 300 1706 1734
C.11 1 1 1000 1047 1052
F.10 0 1 300 2551 2595
A.17 1 1 200 40 41
B.15 1 1 600 377 381
E.03 0 1 300 2186 2246
F.19 1 1 300 1477 1486
A.12 1 1 200 38 40
B.08 1 1 600 350 349
F.17 1 1 300 2764 2708
C.04 1 1 1000 1084 1090
B.19 1 1 600 366 365
C.16 1 1 1000 1027 1023
C.17 1 1 1000 1018 1012
E.08 0 1 300 1675 1854
F.13 1 1 300 1816 1845
A.20 1 1 200 40 37
E.02 0 1 300 2736 2741
E.16 0 1 300 2173 1943
B.12 1 1 600 381 377
F.09 1 1 300 1779 1802
A.10 1 1 200 65 48
F.18 1 1 300 2790 2931
E.10 1 1 300 1529 1550
A.06 1 1 200 42 45
E.15 0 1 300 3792 3808
E.07 0 1 300 3167 3357
E.11 0 1 300 1563 1530
B.03 1 1 600 396 394
B.18 1 1 600 354 384
C.03 1 1 1000 1003 1010
A.18 1 1 200 39 40
F.15 1 1 300 2089 1958
A.19 1 1 200 42 53
C.12 1 1 1000 1002 998
B.05 1 1 600 363 359
A.13 1 1 200 38 37
A.05 1 1 200 43 41
F.01 1 1 300 1875 2078
E.20 0 1 300 3169 3269
B.13 1 1 600 345 351
A.14 1 1 200 45 46
B.04 1 1 600 520 372
C.13 1 1 1000 1110 1215
F.07 1 1 300 1520 1534
E.13 0 1 300 3127 2828
E.14 0 1 300 1704 1746
A.11 1 1 200 38 39
si6-r005-m400.07 1 7 400 3094 2866
si6-r005-m400.00 1 7 400 2587 2954
si6-r005-m400.01 1 7 400 2867 2899
si6-r005-m400.02 1 7 400 2362 2354
si6-r005-m400.04 1 7 400 2729 2385
si6-r005-m400.05 1 7 400 4018 4054
si6-r005-m400.09 1 7 400 2186 2113
si6-r005-m400.03 1 7 400 2845 2866
si6-r005-m400.06 1 7 400 2405 2280
si6-r005-m400.08 1 7 400 2966 2981
si6-m4Dr6-m625.04 1 6 625 228 308
si6-m4Dr6-m625.01 1 6 625 457 528
si6-m4Dr6-m625.09 1 6 625 436 572
si6-m4Dr6-m625.07 1 6 625 401 395
si6-m4Dr6-m625.00 1 6 625 210 209
si6-m4Dr6-m625.08 1 6 625 243 241
si6-m4Dr6-m625.05 1 6 625 407 403
si6-m4Dr6-m625.06 1 6 625 208 208
si6-m4Dr6-m625.02 1 6 625 249 243
si6-m4Dr6-m625.03 1 6 625 345 341
si4-m4Dr2-m625.09 1 6 625 236 234
si4-m4Dr2-m625.04 1 6 625 136 182
si4-m4Dr2-m625.02 1 6 625 190 249
si4-m4Dr2-m625.07 1 6 625 180 179
si4-m4Dr2-m625.00 1 6 625 227 198
si4-m4Dr2-m625.08 1 6 625 227 218
si4-m4Dr2-m625.01 1 6 625 240 217
si4-m4Dr2-m625.06 1 6 625 311 304
si4-m4Dr2-m625.03 1 6 625 242 240
si4-m4Dr2-m625.05 1 6 625 260 245
si2-r001-m600.00 1 7 600 178 179
si2-r001-m600.06 1 7 600 583 583
si2-r001-m600.04 1 7 600 263 327
si2-r001-m600.07 1 7 600 1290 914
si2-r001-m600.02 1 7 600 192 189
si2-r001-m600.08 1 7 600 384 385
si2-r001-m600.03 1 7 600 217 225
si2-r001-m600.01 1 7 600 210 175
si2-r001-m600.05 1 7 600 272 178
si2-r001-m600.09 1 7 600 448 415
si2-m4Dr2-m256.09 1 6 256 15 17
si2-m4Dr2-m256.03 1 6 256 15 18
si2-m4Dr2-m256.04 1 6 256 29 30
si2-m4Dr2-m256.07 1 6 256 17 11
si2-m4Dr2-m256.00 1 6 256 14 14
si2-m4Dr2-m256.06 1 6 256 19 17
si2-m4Dr2-m256.08 1 6 256 25 21
si2-m4Dr2-m256.05 1 6 256 31 31
si2-m4Dr2-m256.01 1 6 256 20 13
si2-m4Dr2-m256.02 1 6 256 11 11
si6-r001-m600.09 1 7 600 1090 1087
si6-r001-m600.00 1 7 600 1143 1118
si6-r001-m600.07 1 7 600 1152 1216
si6-r001-m600.03 1 7 600 1161 1219
si6-r001-m600.01 1 7 600 1211 1215
si6-r001-m600.06 1 7 600 1120 1111
si6-r001-m600.08 1 7 600 1281 1171
si6-r001-m600.02 1 7 600 1164 1169
si6-r001-m600.04 1 7 600 1109 1105
si6-r001-m600.05 1 7 600 1299 1165
si2-m4Dr2-m1296.05 1 6 1296 453 586
si2-m4Dr2-m1296.09 1 6 1296 265 268
si2-m4Dr2-m1296.02 1 6 1296 504 507
si2-m4Dr2-m1296.07 1 6 1296 490 460
si2-m4Dr2-m1296.00 1 6 1296 608 608
si2-m4Dr2-m1296.06 1 6 1296 280 272
si2-m4Dr2-m1296.08 1 6 1296 273 276
si2-m4Dr2-m1296.01 1 6 1296 592 590
si2-m4Dr2-m1296.03 1 6 1296 398 254
si2-m4Dr2-m1296.04 1 6 1296 474 388
si4-b06m-m800.08 1 4 800 460 478
si4-b06m-m800.00 1 4 800 469 372
si4-b06m-m800.06 1 4 800 424 500
si4-b06m-m800.05 1 4 800 558 555
si4-b06m-m800.04 1 4 800 279 275
si4-b06m-m800.09 1 4 800 273 275
si4-b06m-m800.01 1 4 800 508 449
si4-b06m-m800.07 1 4 800 389 373
si4-b06m-m800.03 1 4 800 499 498
si4-b06m-m800.02 1 4 800 302 329
si6-m4Dr2-m625.08 1 6 625 195 193
si6-m4Dr2-m625.09 1 6 625 193 193
si6-m4Dr2-m625.05 1 6 625 205 197
si6-m4Dr2-m625.01 1 6 625 337 336
si6-m4Dr2-m625.06 1 6 625 420 351
si6-m4Dr2-m625.00 1 6 625 280 317
si6-m4Dr2-m625.03 1 6 625 321 291
si6-m4Dr2-m625.02 1 6 625 197 195
si6-m4Dr2-m625.07 1 6 625 305 350
si6-m4Dr2-m625.04 1 6 625 371 379
si2-m4D-m1296.01 1 5 1296 427 403
si2-m4D-m1296.08 1 5 1296 762 908
si2-m4D-m1296.06 1 5 1296 654 621
si2-m4D-m1296.05 1 5 1296 415 417
si2-m4D-m1296.09 1 5 1296 637 642
si2-m4D-m1296.03 1 5 1296 481 430
si2-m4D-m1296.07 1 5 1296 423 447
si2-m4D-m1296.02 1 5 1296 943 936
si2-m4D-m1296.04 1 5 1296 731 703
si2-m4D-m1296.00 1 5 1296 551 550
si4-b03-m800.05 1 3 800 154 166
si4-b03-m800.00 1 3 800 147 168
si4-b03-m800.08 1 3 800 150 167
si4-b03-m800.09 1 3 800 149 201
si4-b03-m800.03 1 3 800 149 154
si4-b03-m800.02 1 3 800 147 150
si4-b03-m800.04 1 3 800 167 155
si4-b03-m800.01 1 3 800 167 207
si4-b03-m800.06 1 3 800 153 224
si4-b03-m800.07 1 3 800 147 150
si6-m4D-m1296.02 1 5 1296 654 799
si6-m4D-m1296.07 1 5 1296 822 853
si6-m4D-m1296.05 1 5 1296 633 609
si6-m4D-m1296.09 1 5 1296 923 867
si6-m4D-m1296.00 1 5 1296 772038 803598
si6-m4D-m1296.08 1 5 1296 619 746
si6-m4D-m1296.04 1 5 1296 585 587
si6-m4D-m1296.06 1 5 1296 1903 1847
si6-m4D-m1296.01 1 5 1296 1219 1321
si6-m4D-m1296.03 1 5 1296 7458 6841
si6-r001-m200.05 1 7 200 23 23
si6-r001-m200.09 1 7 200 15 16
si6-r001-m200.07 1 7 200 13 14
si6-r001-m200.02 1 7 200 23 16
si6-r001-m200.01 1 7 200 14 14
si6-r001-m200.00 1 7 200 22 14
si6-r001-m200.04 1 7 200 24 23
si6-r001-m200.06 1 7 200 14 14
si6-r001-m200.08 1 7 200 27 26
si6-r001-m200.03 1 7 200 15 16
si4-b06-m400.06 1 3 400 107 170
si4-b06-m400.07 1 3 400 107 109
si4-b06-m400.09 1 3 400 107 108
si4-b06-m400.01 1 3 400 111 146
si4-b06-m400.04 1 3 400 120 113
si4-b06-m400.03 1 3 400 108 109
si4-b06-m400.00 1 3 400 113 108
si4-b06-m400.05 1 3 400 110 127
si4-b06-m400.08 1 3 400 110 109
si4-b06-m400.02 1 3 400 108 138
si2-m4Dr6-m256.06 1 6 256 15 15
si2-m4Dr6-m256.05 1 6 256 23 23
si2-m4Dr6-m256.09 1 6 256 42 41
si2-m4Dr6-m256.00 1 6 256 28 29
si2-m4Dr6-m256.07 1 6 256 21 16
si2-m4Dr6-m256.04 1 6 256 27 26
